,id,city,ctripName,stars,strategymedal,goldmedal,silvermedal,price
788,732096,杭州,杭州千禧度假酒店,0,0,1,0,1056
789,732412,北京,北京源馨德润饭店,3,0,1,0,309
790,734020,上海,上海宇航宾馆,0,0,1,0,242
791,735707,北京,北京华尔道夫酒店,0,0,1,0,3663
792,736043,广州,凯港精品酒店(广州沙河店)(原沙河服装批发城店),0,0,1,0,230
793,736642,北京,北京和平里大酒店,3,0,0,1,657
794,739458,成都,成都翔宇商务酒店,0,1,0,0,198
795,739556,厦门,厦门恋恋海湾度假酒店,0,0,1,0,263
796,739873,成都,成都隐庐酒店,0,0,1,0,408
797,741295,三亚,三亚远近海景酒店,0,0,1,0,248
798,741926,广州,凯港精品酒店(广州琶洲店)(原赤岗店),0,0,1,0,338
799,742641,北京,北京瑞海姆田园度假村,5,0,1,0,515
800,744581,北京,北京中油宾馆,3,1,0,0,298
801,745844,广州,私享家连锁酒店公寓(广州珠江新城汇峰店),0,0,1,0,509
802,749504,北京,北京百富怡大酒店,0,0,1,0,723
803,751414,深圳,深圳新世界宾馆,0,0,1,0,217
804,752669,广州,岭南佳园连锁酒店(广州中山四路店),0,0,1,0,198
805,754206,南京,南京怡华酒店,0,1,0,0,488
806,757286,成都,都江堰殿庭精品酒店,0,0,1,0,131
807,760045,上海,上海伦蒂诺中锦国际酒店公寓,0,1,0,0,492
808,760201,北京,希岸酒店(北京北苑店),0,0,1,0,318
809,762559,上海,汉庭酒店(上海虹桥机场店),0,0,1,0,195
810,762637,成都,成都海洋莱普敦酒店,0,1,0,0,388
811,763223,北京,7天连锁酒店(北京清华大学东门店),0,0,1,0,389
812,765275,成都,都豪主题酒店(成都火车北站店)(原都豪网络酒店),0,0,1,0,81
813,766869,上海,艾享精品酒店(上海大柏树地铁站店),0,0,1,0,207
814,768621,成都,成龙酒店(成都春熙路店),0,0,1,0,94
815,771610,厦门,厦门星光海湾酒店,0,0,1,0,312
816,772100,成都,成都美宜佳酒店,0,0,1,0,110
817,772169,广州,维也纳酒店(广州南沙金洲店),0,0,1,0,221
818,772195,北京,北京海运国际酒店,0,1,0,0,467
819,772231,青岛,青岛中锦假日酒店,0,0,1,0,97
820,772854,北京,北京康铭大厦,0,0,1,0,296
821,776227,广州,方洁连锁酒店(广州西门口地铁站店),0,0,1,0,131
822,777325,厦门,厦门天海花园酒店,3,1,0,0,291
823,778559,深圳,八方精品酒店(深圳莲花山店),0,0,1,0,341
824,780008,青岛,筑美印象酒店公寓(青岛五四广场香港中路店),0,0,1,0,148
825,781289,上海,上海八方大酒店,3,0,1,0,448
826,789201,广州,嘻哈服务公寓(广州昌岗店),0,0,1,0,326
827,790389,厦门,厦门时代雅居酒店,0,1,0,0,266
828,791935,广州,麗枫酒店(广州海珠广场北京路步行街店),0,0,1,0,442
829,792763,杭州,浙江铁道大厦城市广场大酒店,3,1,0,0,189
830,793504,北京,北京凤凰苏源大厦,3,1,0,0,306
831,793617,北京,北京日升昌酒店,0,0,1,0,476
832,793625,北京,北京海南大厦,0,1,0,0,436
833,793913,广州,广州花城之星连锁酒店(动物园地铁站店),0,0,1,0,159
834,793933,北京,北京巴比伦时尚酒店,0,1,0,0,428
835,794061,上海,思慕精品酒店(上海北外滩大连路地铁站店),0,0,1,0,204
836,794412,广州,广州华通商务酒店,0,0,1,0,124
837,801647,广州,麗枫酒店(广州海珠客运站南洲地铁站店),0,0,1,0,386
838,802522,深圳,杨梅坑莫默海边客栈(深圳海角店),0,0,1,0,168
839,802698,深圳,华里精品酒店(深圳华侨城店),0,0,1,0,391
840,802797,深圳,深圳紫华园酒店,0,0,1,0,170
841,803817,北京,北京中谷酒店(原金谷琪珑酒店),0,0,1,0,358
842,803897,成都,如家快捷酒店(成都双流机场时代奥特莱斯店),0,0,0,1,134
843,811677,南京,清沐精选酒店(南京湖南路步行街店),0,0,1,0,261
844,812007,广州,私享家连锁酒店公寓(广州小蛮腰珠江新岸店)(原广州珠江新岸店),0,0,1,0,350
845,812621,北京,锦江之星(北京酒仙桥电子城店),0,0,1,0,236
846,813062,杭州,汉庭优佳酒店(杭州武林门湖墅南路店),0,0,1,0,273
847,813426,成都,天台山禅意养生酒店,0,0,1,0,240
848,818769,广州,7天连锁酒店(广州天河燕塘地铁站粤垦路店),0,0,1,0,315
849,818770,广州,逸米酒店(广州飞翔公园地铁站店)(原花纪酒店(机场路店),0,0,1,0,176
850,820955,北京,7天连锁酒店(北京景泰地铁站天坛南门店),0,0,1,0,180
851,821106,北京,7天连锁酒店(北京小汤山店),0,0,1,0,241
852,821107,北京,7天连锁酒店(北京电影学院牡丹园地铁站店)(原牡丹园店),0,0,1,0,347
853,821136,北京,北京光耀公寓,0,0,1,0,915
854,821502,北京,汉庭酒店(北京广安门地铁站店),0,0,0,1,395
855,821677,北京,九万里客栈(北京岔道古城店)(原春华园客栈八达岭长城店),0,0,1,0,137
856,821979,北京,麗枫酒店(北京昌平体育馆店),0,0,1,0,462
857,823725,上海,汉庭酒店(上海陆家嘴浦东南路店),0,0,1,0,243
